"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"el_observador","01-2002","2317",419,29,32,6,5,5,21,20,19,2,21,2
"el_observador","02-2002","2172",383,15,16,4,4,6,8,8,12,0,14,1
"el_observador","03-2002","2360",367,16,19,6,3,3,4,7,10,1,13,0
"el_observador","04-2002","2499",383,18,19,0,3,2,5,11,13,0,16,1
"el_observador","05-2002","2493",420,22,23,6,5,10,11,13,16,1,18,3
"el_observador","06-2002","2432",471,43,44,10,8,19,24,32,34,3,38,8
"el_observador","07-2002","2369",517,36,38,5,5,9,21,28,19,1,28,7
"el_observador","08-2002","2346",476,31,35,5,1,5,16,19,22,2,25,7
"el_observador","09-2002","1867",345,23,24,1,1,2,9,16,17,0,19,4
"el_observador","10-2002","1899",379,17,19,2,1,4,6,10,13,1,12,5
"el_observador","11-2002","1909",359,19,21,3,0,1,7,9,13,0,14,5
"el_observador","12-2002","1931",403,18,20,4,4,4,12,15,13,2,16,5
"el_observador","01-2003","2080",400,16,17,3,0,0,7,9,10,0,14,7
"el_observador","02-2003","1958",371,16,17,4,4,3,4,8,14,4,16,9
"el_observador","03-2003","2205",393,28,31,3,3,6,14,16,15,1,19,8
"el_observador","04-2003","2109",311,17,18,0,1,5,4,9,11,3,11,6
"el_observador","05-2003","2244",371,16,17,0,0,2,6,9,7,3,11,5
"el_observador","06-2003","2279",376,6,7,0,0,1,4,5,4,0,4,0
"el_observador","07-2003","2258",387,11,11,2,1,1,6,3,9,1,9,2
"el_observador","08-2003","2253",375,17,17,1,2,5,7,9,13,2,14,6
"el_observador","09-2003","2201",319,11,11,2,0,1,2,5,8,0,9,4
"el_observador","10-2003","2239",332,8,9,0,2,1,4,4,7,0,7,1
"el_observador","11-2003","2441",349,12,12,3,0,1,2,4,9,6,10,6
"el_observador","12-2003","2299",327,12,14,3,1,2,8,8,8,3,11,2
"el_observador","01-2004","2442",299,10,11,0,1,3,6,8,8,1,9,0
"el_observador","02-2004","2287",328,17,19,5,1,5,6,8,12,0,17,6
"el_observador","03-2004","2519",385,17,17,0,0,4,9,10,7,1,14,6
"el_observador","04-2004","2436",337,11,15,2,1,1,7,6,8,0,9,5
"el_observador","05-2004","2422",360,14,15,4,4,3,6,6,8,3,9,3
"el_observador","06-2004","2525",368,17,17,5,1,1,7,9,10,1,12,1
"el_observador","07-2004","2534",379,15,17,1,2,3,7,5,9,1,14,2
"el_observador","08-2004","2445",382,15,17,4,2,5,11,8,11,0,14,3
"el_observador","09-2004","2487",352,11,11,2,2,1,6,6,9,0,10,1
"el_observador","10-2004","2623",360,17,21,4,0,2,11,6,12,1,15,1
"el_observador","11-2004","2454",299,19,20,2,1,3,8,7,12,2,15,9
"el_observador","12-2004","2369",392,9,12,0,0,0,2,3,5,2,8,3
"el_observador","01-2005","2436",336,13,13,3,3,3,5,4,9,2,11,0
"el_observador","02-2005","2264",344,10,11,3,2,2,4,5,9,0,10,1
"el_observador","03-2005","2389",341,9,11,0,0,1,2,1,7,0,7,0
"el_observador","04-2005","2458",314,13,13,2,1,3,6,6,10,2,13,4
"el_observador","05-2005","2418",339,20,20,3,0,3,13,6,18,3,19,3
"el_observador","06-2005","2451",343,16,16,3,2,5,11,12,13,2,13,1
"el_observador","07-2005","2491",378,8,9,4,0,1,4,3,6,0,7,1
"el_observador","08-2005","2488",316,12,13,5,0,1,7,4,9,1,12,2
"el_observador","09-2005","2641",426,17,18,3,1,0,7,6,11,2,14,2
"el_observador","10-2005","2806",351,12,12,2,0,1,5,4,8,1,10,1
"el_observador","11-2005","2575",347,20,20,4,0,2,11,10,13,4,16,2
"el_observador","12-2005","2480",363,20,21,3,0,2,11,7,15,1,19,5
"el_observador","01-2006","2446",287,11,11,2,1,1,7,3,7,2,8,2
"el_observador","02-2006","2336",273,3,3,0,0,0,1,0,2,1,3,1
"el_observador","03-2006","2476",308,11,11,3,2,3,7,4,7,4,10,3
"el_observador","04-2006","2347",342,13,15,2,0,2,7,4,9,1,10,2
"el_observador","05-2006","2447",331,7,8,3,0,0,2,1,6,3,7,3
"el_observador","06-2006","2935",303,13,13,4,1,2,5,4,10,2,10,0
"el_observador","07-2006","2864",340,6,8,1,0,0,4,2,3,1,5,1
"el_observador","08-2006","2707",357,12,12,0,0,2,5,3,9,4,11,4
"el_observador","09-2006","2788",300,11,11,3,0,2,7,4,10,2,10,2
"el_observador","10-2006","2866",336,13,14,1,0,1,9,4,9,5,10,4
"el_observador","11-2006","2637",299,15,16,3,1,1,5,3,11,5,12,3
"el_observador","12-2006","2626",312,6,8,1,0,0,5,0,5,4,5,2
"el_observador","01-2007","2659",256,9,10,2,1,1,3,1,8,1,9,3
"el_observador","02-2007","2444",276,9,9,1,1,0,2,1,7,1,9,1
"el_observador","03-2007","2814",286,12,12,5,3,1,9,3,11,2,11,2
"el_observador","04-2007","2557",194,8,9,3,0,3,3,1,6,1,7,2
"el_observador","05-2007","2548",317,7,7,3,1,4,3,1,6,0,6,1
"el_observador","06-2007","2738",262,6,8,2,0,0,5,1,1,0,3,1
"el_observador","07-2007","2708",313,9,11,4,2,1,5,2,8,1,9,2
"el_observador","08-2007","2625",275,16,17,5,0,0,9,4,11,3,15,3
"el_observador","09-2007","2815",307,10,10,3,2,2,6,3,6,0,9,1
"el_observador","10-2007","2700",296,6,6,2,1,1,1,2,4,0,4,1
"el_observador","11-2007","2708",256,10,12,5,0,0,4,2,9,2,10,0
"el_observador","12-2007","2528",313,17,17,7,1,3,9,5,12,3,14,1
"el_observador","01-2008","2510",263,13,14,3,1,2,7,7,7,4,11,9
"el_observador","02-2008","2567",326,7,8,1,0,1,5,2,3,1,7,2
"el_observador","03-2008","2710",324,13,13,3,1,2,7,4,9,0,9,4
"el_observador","04-2008","2656",319,20,21,5,1,4,8,7,17,2,18,2
"el_observador","05-2008","2626",323,12,12,4,1,3,7,6,9,0,11,2
"el_observador","06-2008","2766",369,20,22,2,2,2,7,9,12,6,16,0
"el_observador","07-2008","2721",315,9,11,3,1,1,2,1,8,1,8,3
"el_observador","08-2008","2827",349,13,14,4,2,3,7,4,6,2,8,2
"el_observador","09-2008","2621",324,22,26,4,1,3,10,7,15,2,19,5
"el_observador","10-2008","2704",430,39,45,6,2,6,17,20,24,6,35,6
"el_observador","11-2008","2673",390,32,36,7,1,2,11,8,16,5,25,12
"el_observador","12-2008","2515",369,32,35,3,3,3,9,11,19,1,30,7
"el_observador","01-2009","2442",303,20,22,6,0,3,6,6,14,2,17,6
"el_observador","02-2009","2322",319,21,24,4,2,2,6,6,17,2,19,8
"el_observador","03-2009","2585",430,11,14,2,2,2,6,3,11,1,11,3
"el_observador","04-2009","2446",361,15,18,3,0,2,2,7,12,1,12,2
"el_observador","05-2009","2528",335,9,11,1,0,1,3,3,5,0,9,4
"el_observador","06-2009","2481",325,15,17,4,1,1,7,3,12,1,15,4
"el_observador","07-2009","2510",363,15,15,4,4,5,5,3,14,3,15,3
"el_observador","08-2009","2460",334,7,9,1,0,1,4,1,3,0,5,0
"el_observador","09-2009","2151",308,15,16,2,3,3,5,7,9,0,11,5
"el_observador","10-2009","2365",292,15,18,1,3,3,8,9,8,0,12,3
"el_observador","11-2009","2313",279,13,13,6,3,1,3,5,10,1,11,5
"el_observador","12-2009","2295",334,17,19,3,2,1,6,8,9,0,12,3
"el_observador","01-2010","2159",278,11,12,1,2,2,4,5,7,0,10,3
"el_observador","02-2010","2060",219,8,11,2,1,1,3,2,5,2,7,0
"el_observador","03-2010","2389",327,8,9,3,0,0,5,3,4,0,5,1
"el_observador","04-2010","2230",291,10,13,1,2,3,4,4,5,3,8,2
"el_observador","05-2010","2230",320,19,19,6,2,2,8,6,16,4,17,4
"el_observador","06-2010","2450",302,14,15,3,1,1,4,8,8,2,12,1
"el_observador","07-2010","2388",303,10,11,3,2,2,4,6,6,2,7,3
"el_observador","08-2010","2367",302,4,6,0,0,0,2,2,2,1,4,1
"el_observador","09-2010","2277",305,10,13,4,2,2,1,3,8,1,9,3
"el_observador","10-2010","2431",354,14,17,2,0,1,2,6,8,2,11,6
"el_observador","11-2010","2226",281,14,14,3,1,5,8,10,12,4,13,4
"el_observador","12-2010","2073",334,14,15,2,3,7,5,6,9,4,12,1
"el_observador","01-2011","2122",309,7,7,1,2,1,3,2,7,1,7,0
"el_observador","02-2011","2078",285,13,13,6,1,2,10,3,11,3,13,0
"el_observador","03-2011","2318",351,26,27,6,0,4,17,12,17,6,20,3
"el_observador","04-2011","2401",293,16,17,3,2,6,8,6,12,2,15,1
"el_observador","05-2011","2241",316,16,17,1,1,3,10,13,10,3,13,2
"el_observador","06-2011","2409",390,34,37,11,4,6,20,13,20,5,30,7
"el_observador","07-2011","2429",392,38,43,7,5,14,21,29,25,11,34,8
"el_observador","08-2011","2450",376,53,60,9,10,15,31,35,29,7,37,8
"el_observador","09-2011","2399",371,39,45,8,7,5,25,30,19,5,29,7
"el_observador","10-2011","2491",384,39,41,6,4,6,23,24,20,7,29,12
"el_observador","11-2011","2520",405,45,48,13,1,6,22,23,34,12,39,7
"el_observador","12-2011","2340",403,42,47,8,2,7,22,22,27,5,33,10
"el_observador","01-2012","2374",288,24,26,4,0,2,10,11,14,3,20,1
"el_observador","02-2012","2337",312,23,26,4,3,3,12,10,19,4,21,7
"el_observador","03-2012","2606",392,24,26,3,2,3,14,10,13,2,17,5
"el_observador","04-2012","2442",330,18,20,5,2,4,7,7,13,7,15,6
"el_observador","05-2012","2436",333,31,31,4,3,7,14,18,24,6,26,8
"el_observador","06-2012","2511",363,49,50,10,10,13,23,30,37,8,42,10
"el_observador","07-2012","2647",356,32,32,3,1,9,21,18,23,5,27,7
"el_observador","08-2012","2636",358,20,23,1,2,5,13,13,10,3,17,5
"el_observador","09-2012","2543",334,25,27,3,1,5,14,7,15,1,19,3
"el_observador","10-2012","2687",312,26,28,3,2,1,12,12,20,2,23,3
"el_observador","11-2012","2504",387,29,30,7,3,5,9,10,19,5,27,4
"el_observador","12-2012","2397",369,25,28,8,1,3,8,8,17,5,18,5
"el_observador","01-2013","2450",360,33,37,11,8,11,9,19,25,3,30,9
"el_observador","02-2013","2416",279,15,15,7,3,5,8,6,12,2,14,2
"el_observador","03-2013","2653",400,17,19,8,3,6,8,8,12,0,15,3
"el_observador","04-2013","2653",341,12,13,1,2,3,4,7,7,2,9,3
"el_observador","05-2013","2532",330,18,19,4,6,7,11,11,12,5,12,1
"el_observador","06-2013","2531",367,13,14,1,0,1,11,10,11,0,11,2
"el_observador","07-2013","2671",319,17,21,0,3,6,7,8,12,1,15,0
"el_observador","08-2013","2674",306,12,12,3,1,1,7,6,8,3,9,1
"el_observador","09-2013","2654",211,13,14,1,0,1,10,10,7,2,12,5
"el_observador","10-2013","2811",287,20,20,5,4,2,12,11,13,0,17,3
"el_observador","11-2013","2610",372,15,21,6,1,3,5,6,10,4,13,2
"el_observador","12-2013","2553",354,16,20,1,0,1,9,4,11,1,14,2
"el_observador","01-2014","2256",201,18,19,4,1,4,12,12,12,1,17,4
"el_observador","02-2014","2254",202,9,9,0,0,1,6,5,7,2,9,1
"el_observador","03-2014","2584",198,17,19,6,3,6,11,10,15,2,16,1
"el_observador","04-2014","2391",315,14,14,4,1,6,12,7,9,0,12,3
"el_observador","05-2014","2335",362,11,13,0,0,0,3,4,5,2,7,3
"el_observador","06-2014","2584",343,13,13,2,2,4,7,6,9,1,10,3
"el_observador","07-2014","2497",353,13,14,2,0,1,6,3,7,1,10,0
"el_observador","08-2014","2401",360,20,22,4,3,2,13,12,13,2,16,2
"el_observador","09-2014","2290",323,28,29,5,5,7,16,10,20,5,26,8
"el_observador","10-2014","2491",365,18,19,1,2,4,10,8,10,2,15,6
"el_observador","11-2014","2309",381,22,23,7,5,6,9,6,17,3,18,4
"el_observador","12-2014","2178",410,16,17,6,2,3,9,8,10,4,11,2
"el_observador","01-2015","2127",329,21,22,8,7,9,12,10,17,6,19,3
"el_observador","02-2015","2182",319,16,17,4,3,4,11,9,10,2,14,1
"el_observador","03-2015","2504",364,19,23,5,1,3,12,8,11,0,15,3
"el_observador","04-2015","2292",374,18,19,6,1,2,11,8,6,3,11,0
"el_observador","05-2015","2147",340,10,10,1,0,1,8,6,7,3,10,4
"el_observador","06-2015","2289",394,13,13,2,4,5,8,5,9,4,12,3
"el_observador","07-2015","2179",267,20,20,4,4,5,13,9,17,3,19,8
"el_observador","08-2015","2099",252,14,17,0,3,3,9,9,7,3,11,2
"el_observador","09-2015","2171",373,27,27,3,5,9,14,15,18,6,24,1
"el_observador","10-2015","2234",236,18,19,1,4,7,12,12,16,2,17,4
"el_observador","11-2015","2071",331,16,17,5,4,4,11,10,14,2,16,5
"el_observador","12-2015","2015",223,19,19,2,4,4,13,12,18,3,18,7
"el_observador","01-2016","1852",143,12,13,0,1,3,5,7,7,5,10,5
"el_observador","02-2016","2028",315,11,14,2,3,3,5,6,7,0,7,2
"el_observador","03-2016","2073",330,16,17,1,3,3,10,5,9,3,13,4
"el_observador","04-2016","2049",261,17,17,1,4,4,8,7,12,4,14,4
"el_observador","05-2016","1915",322,15,15,2,2,4,5,6,10,4,13,4
"el_observador","06-2016","2031",343,26,29,4,3,9,10,12,16,15,21,8
"el_observador","07-2016","2090",220,23,23,6,2,10,10,14,17,14,21,5
"el_observador","08-2016","2081",333,22,23,6,2,5,10,6,8,6,16,3
"el_observador","09-2016","1891",265,11,13,3,1,2,4,3,9,2,11,6
"el_observador","10-2016","2137",375,27,27,7,3,7,14,8,18,8,23,3
"el_observador","11-2016","1964",333,19,20,5,2,2,12,10,12,5,16,11
"el_observador","12-2016","1862",303,34,35,9,8,16,11,15,26,8,30,15
"el_observador","01-2017","1536",291,30,30,9,6,10,13,11,24,6,26,19
"el_observador","02-2017","1726",286,21,22,5,3,8,10,9,13,2,19,11
"el_observador","03-2017","1890",206,11,14,2,3,4,4,4,10,2,10,2
"el_observador","04-2017","1680",206,8,9,1,2,2,2,3,7,1,7,4
"el_observador","05-2017","1737",189,23,24,4,4,5,9,9,17,7,22,11
"el_observador","06-2017","1737",226,11,12,2,2,6,4,2,9,2,10,3
"el_observador","07-2017","1743",235,14,15,4,3,4,4,6,9,3,13,1
"el_observador","08-2017","1932",257,11,12,1,1,2,8,4,9,0,10,3
"el_observador","09-2017","1930",252,17,18,5,1,3,5,9,10,6,14,6
"el_observador","10-2017","1838",202,15,15,3,1,2,8,1,11,4,13,7
"el_observador","11-2017","1811",238,10,11,0,1,1,3,2,9,3,10,4
"el_observador","12-2017","1651",256,10,14,1,2,1,5,1,7,1,9,3
"el_observador","01-2018","1482",194,16,19,6,2,2,4,5,10,4,12,7
"el_observador","02-2018","1635",223,10,11,3,0,1,6,2,7,3,10,3
"el_observador","03-2018","1637",222,13,15,4,0,2,2,1,6,3,12,7
"el_observador","04-2018","1531",192,10,11,2,1,2,3,2,6,3,10,2
