"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_reg_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"el_observador","01-2002","2317",419,54,61,13,12,17,30,1,1,1,36,38,3,44,4
"el_observador","02-2002","2172",383,42,47,18,12,19,22,2,3,1,23,31,2,39,5
"el_observador","03-2002","2360",367,40,46,15,6,11,15,2,2,4,18,28,4,34,4
"el_observador","04-2002","2499",383,42,46,6,7,8,16,2,3,2,25,25,1,33,2
"el_observador","05-2002","2493",420,55,57,18,14,21,26,3,4,1,35,34,7,44,5
"el_observador","06-2002","2432",471,81,85,21,12,32,42,4,6,3,52,58,5,71,14
"el_observador","07-2002","2369",517,79,83,13,8,15,34,6,8,2,60,43,5,62,12
"el_observador","08-2002","2346",476,71,79,14,4,11,34,1,6,2,40,44,6,58,10
"el_observador","09-2002","1867",345,49,53,2,4,4,24,1,5,0,32,36,0,43,8
"el_observador","10-2002","1899",379,54,59,8,5,9,22,3,5,1,28,35,4,46,17
"el_observador","11-2002","1909",359,34,37,4,3,1,13,0,3,2,17,21,2,28,7
"el_observador","12-2002","1931",403,50,56,7,10,14,26,5,3,1,29,32,4,42,9
"el_observador","01-2003","2080",400,52,56,12,5,5,23,4,6,1,29,34,3,46,21
"el_observador","02-2003","1958",371,37,39,6,6,9,7,0,2,0,22,29,8,35,16
"el_observador","03-2003","2205",393,51,58,5,6,13,25,0,3,0,32,36,3,41,13
"el_observador","04-2003","2109",311,50,53,4,10,13,23,0,2,3,36,38,6,40,17
"el_observador","05-2003","2244",371,47,48,5,3,8,22,1,3,2,28,27,7,36,16
"el_observador","06-2003","2279",376,43,44,6,6,11,24,1,5,2,26,24,2,35,7
"el_observador","07-2003","2258",387,31,34,4,1,5,19,1,4,3,15,22,1,27,6
"el_observador","08-2003","2253",375,35,36,4,8,11,15,1,5,1,18,27,5,30,8
"el_observador","09-2003","2201",319,39,40,4,4,3,13,0,3,0,20,24,2,32,9
"el_observador","10-2003","2239",332,35,38,4,5,4,18,3,3,1,16,24,2,31,6
"el_observador","11-2003","2441",349,30,31,6,0,6,8,2,0,1,10,19,8,26,8
"el_observador","12-2003","2299",327,33,35,7,3,3,13,1,4,3,16,19,5,24,6
"el_observador","01-2004","2442",299,28,30,2,4,5,14,2,2,1,17,18,4,24,3
"el_observador","02-2004","2287",328,43,47,10,8,11,19,1,8,2,19,27,1,39,9
"el_observador","03-2004","2519",385,39,40,3,3,6,19,1,2,1,21,18,2,31,11
"el_observador","04-2004","2436",337,37,44,10,4,7,12,0,1,2,16,21,3,31,8
"el_observador","05-2004","2422",360,31,35,7,7,5,13,2,3,2,10,16,5,22,7
"el_observador","06-2004","2525",368,42,48,14,5,3,20,3,2,0,17,28,4,33,7
"el_observador","07-2004","2534",379,46,49,10,8,10,24,0,7,4,20,28,4,41,6
"el_observador","08-2004","2445",382,42,46,14,7,8,25,2,2,2,21,25,3,34,5
"el_observador","09-2004","2487",352,30,33,5,8,6,14,3,1,1,16,21,2,26,4
"el_observador","10-2004","2623",360,42,53,10,7,7,26,0,2,3,20,27,3,35,5
"el_observador","11-2004","2454",299,42,43,7,3,7,22,0,4,9,21,25,5,33,11
"el_observador","12-2004","2369",392,34,42,10,4,6,13,0,1,5,15,23,6,30,7
"el_observador","01-2005","2436",336,30,32,6,5,11,12,0,4,3,11,19,4,27,3
"el_observador","02-2005","2264",344,33,34,7,4,5,12,0,2,1,15,21,1,28,4
"el_observador","03-2005","2389",341,36,43,4,4,6,17,1,6,1,16,27,2,30,3
"el_observador","04-2005","2458",314,28,28,5,3,4,13,2,4,3,10,20,4,26,6
"el_observador","05-2005","2418",339,35,38,6,2,5,19,0,5,4,12,30,5,34,4
"el_observador","06-2005","2451",343,37,38,7,2,7,20,2,4,3,18,29,6,34,2
"el_observador","07-2005","2491",378,38,46,8,0,3,20,1,2,2,13,27,3,33,6
"el_observador","08-2005","2488",316,39,44,11,8,9,20,0,3,8,15,29,2,36,7
"el_observador","09-2005","2641",426,45,50,11,7,8,25,1,8,1,19,28,4,38,5
"el_observador","10-2005","2806",351,43,45,9,6,6,23,1,5,2,22,28,1,38,7
"el_observador","11-2005","2575",347,45,47,9,5,3,26,2,3,2,23,24,7,38,3
"el_observador","12-2005","2480",363,45,48,5,3,3,20,3,3,7,17,27,5,34,6
"el_observador","01-2006","2446",287,40,42,11,10,4,23,1,3,0,24,23,6,26,3
"el_observador","02-2006","2336",273,24,24,1,4,2,6,1,2,2,8,17,9,20,7
