"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_seguridad_nacional_count","pol_regulacion_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count"
"busqueda","04-2012",99,88,17,20,2,2,6,9,0,3,2,3,5,14,3
"busqueda","05-2012",194,166,31,34,4,3,8,17,2,3,2,4,13,26,5
"busqueda","06-2012",152,137,38,41,11,7,12,23,3,5,7,3,13,27,3
"busqueda","07-2012",150,131,27,30,5,1,10,15,0,4,3,4,13,21,5
"busqueda","08-2012",185,160,34,37,5,5,9,18,1,3,6,2,18,25,2
"busqueda","09-2012",158,136,24,28,1,4,8,8,2,1,2,1,6,17,3
"busqueda","10-2012",199,176,42,45,9,6,11,21,9,7,7,9,6,37,3
"busqueda","11-2012",167,151,32,33,5,4,8,14,3,8,2,5,12,28,2
"busqueda","12-2012",156,135,25,27,6,1,3,13,0,1,3,7,8,18,2
"busqueda","01-2013",177,151,27,31,11,9,12,17,1,2,5,2,14,24,2
"busqueda","02-2013",144,127,19,19,7,6,6,7,3,3,0,1,6,19,2
"busqueda","03-2013",104,91,17,18,4,3,4,8,1,3,2,2,3,15,4
"busqueda","04-2013",136,114,20,25,8,2,6,13,2,2,5,4,7,17,1
"busqueda","05-2013",188,172,29,32,4,6,12,14,3,1,1,4,14,20,1
"busqueda","06-2013",95,89,13,18,4,3,3,6,2,1,1,1,6,11,0
"busqueda","07-2013",174,151,27,30,6,2,7,15,3,2,2,5,11,20,4
"busqueda","08-2013",136,119,18,20,1,1,4,8,1,4,0,4,2,16,2
"busqueda","09-2013",144,126,25,27,6,3,3,10,3,5,0,5,4,23,3
"busqueda","10-2013",137,125,31,32,6,7,5,11,6,6,1,2,6,25,0
"busqueda","11-2013",164,140,21,24,4,1,3,9,1,3,4,2,4,17,1
"busqueda","12-2013",221,184,28,34,9,1,5,17,2,4,1,5,8,23,4
"busqueda","01-2014",169,155,22,24,5,0,1,11,3,1,2,4,7,17,3
"busqueda","02-2014",184,157,21,25,2,1,5,14,1,1,2,2,12,17,0
"busqueda","03-2014",159,142,22,22,3,3,5,9,0,3,0,2,3,16,4
"busqueda","04-2014",220,186,33,37,11,2,5,16,0,5,4,3,7,22,3
"busqueda","05-2014",136,123,24,27,4,1,0,10,0,3,1,6,3,16,5
"busqueda","06-2014",162,141,26,31,3,6,6,14,0,3,2,7,13,17,3
"busqueda","07-2014",187,153,30,33,4,5,9,17,3,3,3,5,11,21,2
"busqueda","08-2014",187,156,32,36,8,4,11,15,8,5,2,7,10,26,2
"busqueda","09-2014",161,139,24,30,3,3,5,14,1,4,5,5,8,12,1
"busqueda","10-2014",186,152,22,26,6,3,7,10,4,2,2,3,7,17,1
"busqueda","11-2014",147,131,22,24,6,5,6,7,0,2,1,3,6,16,3
"busqueda","12-2014",213,181,37,41,8,6,9,19,1,4,3,5,10,28,5
"busqueda","01-2015",158,130,21,25,2,3,4,6,1,5,2,3,8,15,7
"busqueda","02-2015",102,84,15,15,3,1,3,6,0,1,2,2,6,12,2
"busqueda","03-2015",168,150,28,29,3,5,6,13,2,4,2,6,15,17,2
"busqueda","04-2015",223,200,37,38,7,4,7,17,0,1,2,7,12,28,11
"busqueda","05-2015",147,127,18,20,1,2,3,6,0,1,3,3,8,13,2
"busqueda","06-2015",191,174,31,35,5,2,7,15,3,1,4,3,8,26,8
"busqueda","07-2015",211,198,28,30,7,4,11,12,2,5,4,7,9,23,6
"busqueda","08-2015",167,140,29,32,6,6,8,18,2,5,3,5,13,23,2
"busqueda","09-2015",211,182,38,43,7,5,13,18,1,3,1,7,14,29,6
"busqueda","10-2015",170,154,31,35,6,5,10,13,3,3,1,5,12,27,1
"busqueda","11-2015",172,146,18,24,2,5,8,10,2,3,3,1,8,16,1
"busqueda","12-2015",204,181,40,44,14,7,13,18,3,4,5,4,13,32,6
"busqueda","01-2016",154,135,24,25,3,3,6,13,1,6,1,5,12,19,2
"busqueda","02-2016",183,165,35,40,8,3,6,12,3,3,2,6,8,28,3
"busqueda","03-2016",160,140,18,24,4,4,6,9,1,0,2,3,7,18,2
"busqueda","04-2016",174,149,24,28,3,3,4,11,1,4,0,3,6,17,3
"busqueda","05-2016",171,149,22,28,4,4,4,8,2,2,2,2,9,16,3
"busqueda","06-2016",232,207,36,41,9,5,15,13,5,7,0,2,7,27,2
"busqueda","07-2016",176,154,29,30,5,4,9,10,2,3,0,1,9,20,11
"busqueda","08-2016",194,166,31,38,5,8,9,16,1,0,4,2,10,26,6
"busqueda","09-2016",135,117,17,20,3,3,5,6,3,1,1,2,3,12,4
"busqueda","10-2016",131,112,17,21,2,2,1,4,1,2,0,2,1,11,3
"busqueda","11-2016",152,128,23,27,7,4,3,12,1,0,1,3,7,20,5
"busqueda","12-2016",130,104,13,17,3,3,5,6,1,2,1,0,6,9,5
"busqueda","01-2017",141,124,29,32,12,11,17,20,1,1,0,2,11,25,4
"busqueda","02-2017",128,111,23,23,5,7,7,11,1,2,2,3,8,19,5
"busqueda","03-2017",176,148,29,31,8,8,11,14,3,5,5,3,13,14,5
"busqueda","04-2017",118,93,24,27,3,2,4,7,2,0,0,6,3,21,6
"busqueda","05-2017",186,161,30,31,7,6,8,14,3,4,3,4,5,24,4
"busqueda","06-2017",128,106,20,23,7,10,12,15,2,1,2,3,6,18,1
"busqueda","07-2017",107,90,10,10,2,1,1,5,1,1,0,0,3,3,1
"busqueda","08-2017",134,115,14,15,2,3,3,6,0,2,0,1,5,12,2
"busqueda","09-2017",101,83,16,18,4,5,5,11,0,1,4,1,7,12,2
"busqueda","10-2017",88,72,17,19,1,2,3,9,1,2,1,2,3,12,2
"busqueda","11-2017",157,138,17,19,2,6,4,8,3,1,2,5,5,14,1
"busqueda","12-2017",106,97,17,20,3,7,6,11,5,2,1,0,2,14,4
"busqueda","01-2018",119,97,17,17,4,8,4,10,1,1,3,0,7,13,4
"busqueda","02-2018",92,75,9,10,4,4,2,6,0,1,0,0,3,6,0
"busqueda","03-2018",84,77,14,14,0,3,2,8,1,1,0,2,5,10,1
"busqueda","04-2018",111,95,19,19,3,4,7,9,2,4,1,0,6,13,1
