"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_seguridad_nacional_count","pol_regulacion_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count"
"el_observador","04-2012","2442",388,62,70,10,9,15,28,1,4,5,4,22,44,15
"el_observador","05-2012","2436",402,62,72,8,7,16,22,3,7,10,5,36,52,15
"el_observador","06-2012","2511",416,83,97,12,11,23,40,0,2,22,8,50,64,22
"el_observador","07-2012","2647",405,73,81,10,3,17,41,3,2,15,8,36,54,12
"el_observador","08-2012","2636",407,62,69,4,5,11,36,1,7,9,6,35,37,9
"el_observador","09-2012","2543",385,58,72,7,5,10,29,4,3,7,4,22,38,5
"el_observador","10-2012","2687",341,49,61,8,6,5,26,2,4,4,5,18,33,2
"el_observador","11-2012","2504",426,73,85,18,12,18,33,0,6,6,8,32,53,11
"el_observador","12-2012","2397",397,61,70,14,5,10,26,2,7,4,6,20,45,8
"el_observador","01-2013","2450",398,66,74,19,12,18,27,0,11,7,2,32,49,7
"el_observador","02-2013","2416",320,41,49,15,6,8,22,2,2,8,4,15,31,4
"el_observador","03-2013","2653",439,58,66,20,8,16,22,0,6,4,4,26,38,2
"el_observador","04-2013","2653",382,47,57,6,4,6,20,1,6,5,5,21,24,4
"el_observador","05-2013","2532",368,60,65,17,15,17,22,4,6,4,9,22,35,6
"el_observador","06-2013","2531",418,57,70,12,2,12,35,0,1,4,4,31,42,3
"el_observador","07-2013","2671",368,53,62,4,5,14,25,2,7,2,4,27,37,6
"el_observador","08-2013","2674",346,51,59,12,5,9,19,1,3,2,3,24,40,4
"el_observador","09-2013","2654",239,41,45,9,3,7,19,0,2,2,5,25,19,6
"el_observador","10-2013","2811",335,55,60,11,7,13,24,4,5,7,5,22,39,3
"el_observador","11-2013","2610",435,56,69,10,2,9,23,1,3,1,7,18,36,7
"el_observador","12-2013","2553",393,55,65,3,3,11,22,0,7,7,2,19,34,5
"el_observador","01-2014","2256",230,38,42,7,3,8,21,0,2,0,5,21,20,3
"el_observador","02-2014","2254",219,29,29,1,0,5,12,0,2,0,1,17,18,3
"el_observador","03-2014","2584",217,45,52,9,11,19,24,0,6,2,3,19,34,3
"el_observador","04-2014","2391",357,49,56,6,8,12,24,1,5,1,3,20,34,5
"el_observador","05-2014","2335",417,47,58,4,8,8,15,1,10,6,4,15,27,5
"el_observador","06-2014","2584",383,62,72,5,8,15,22,1,2,4,9,23,39,5
"el_observador","07-2014","2497",407,43,53,8,1,2,15,1,2,1,7,17,28,4
"el_observador","08-2014","2401",425,65,76,12,10,8,24,0,5,4,5,26,41,6
"el_observador","09-2014","2290",367,62,70,7,12,16,30,1,4,2,5,20,38,7
"el_observador","10-2014","2491",407,55,62,4,7,11,21,3,6,1,8,21,30,6
"el_observador","11-2014","2309",426,56,65,12,13,14,25,0,5,2,4,21,35,7
"el_observador","12-2014","2178",452,62,65,15,10,13,24,1,3,2,6,21,32,7
"el_observador","01-2015","2127",369,57,66,11,12,18,24,1,9,6,9,27,36,9
"el_observador","02-2015","2182",357,44,51,8,10,11,19,0,9,3,4,19,26,5
"el_observador","03-2015","2504",415,53,63,8,7,12,16,4,7,0,6,17,33,1
"el_observador","04-2015","2292",417,63,72,11,13,18,27,0,4,2,8,22,40,8
"el_observador","05-2015","2147",377,35,39,5,5,10,12,0,8,1,3,10,21,6
"el_observador","06-2015","2289",443,55,64,6,13,15,29,3,5,11,5,23,38,14
"el_observador","07-2015","2179",289,47,50,7,7,11,23,1,5,2,1,18,41,4
"el_observador","08-2015","2099",278,48,54,6,13,16,25,2,6,2,0,27,37,4
"el_observador","09-2015","2171",419,64,68,5,13,24,22,3,4,2,3,27,49,11
"el_observador","10-2015","2234",256,45,51,1,13,18,23,1,6,1,1,22,36,3
"el_observador","11-2015","2071",368,56,61,7,11,14,29,1,7,4,5,24,46,6
"el_observador","12-2015","2015",240,44,45,2,10,10,23,1,5,1,2,20,37,5
"el_observador","01-2016","1852",150,29,30,1,9,12,9,0,6,0,0,15,22,6
"el_observador","02-2016","2028",352,63,69,2,10,14,24,2,7,4,5,27,43,6
"el_observador","03-2016","2073",368,61,66,11,10,15,30,3,6,3,4,17,44,4
"el_observador","04-2016","2049",284,47,51,5,10,12,19,2,4,3,2,15,37,6
"el_observador","05-2016","1915",367,45,48,13,8,12,19,2,1,3,2,11,35,7
"el_observador","06-2016","2031",377,67,78,16,13,28,27,2,9,2,1,21,50,21
"el_observador","07-2016","2090",240,45,48,9,10,19,18,0,3,3,4,16,39,20
"el_observador","08-2016","2081",376,44,59,8,6,13,18,0,3,3,5,11,26,6
"el_observador","09-2016","1891",304,41,49,9,2,8,14,2,4,0,5,15,35,5
"el_observador","10-2016","2137",432,73,83,12,12,16,25,2,13,1,11,18,53,14
"el_observador","11-2016","1964",401,51,57,7,7,9,24,0,8,3,6,21,33,13
"el_observador","12-2016","1862",352,57,65,15,11,23,17,1,5,4,9,22,48,10
"el_observador","01-2017","1536",327,54,60,14,9,20,20,0,10,1,4,16,44,13
"el_observador","02-2017","1726",330,55,66,15,13,22,18,7,11,2,3,15,43,8
"el_observador","03-2017","1890",239,30,40,9,7,10,8,1,4,1,4,9,25,5
"el_observador","04-2017","1680",233,20,25,5,4,5,8,1,4,1,0,5,13,4
"el_observador","05-2017","1737",234,38,45,9,6,8,14,1,4,2,2,17,29,9
"el_observador","06-2017","1737",272,33,38,7,6,14,16,2,2,4,3,7,23,5
"el_observador","07-2017","1743",287,37,42,11,8,11,13,6,4,1,3,9,27,8
"el_observador","08-2017","1932",311,45,48,8,6,10,20,1,8,3,5,7,34,4
"el_observador","09-2017","1930",317,41,50,9,5,10,10,3,8,0,4,11,29,12
"el_observador","10-2017","1838",254,32,40,7,3,3,13,1,5,1,4,2,25,7
"el_observador","11-2017","1811",295,36,41,7,6,6,13,4,6,1,4,6,30,6
"el_observador","12-2017","1651",300,46,56,13,15,11,24,6,4,3,2,9,32,13
"el_observador","01-2018","1482",227,34,44,15,8,11,13,2,6,1,1,8,27,8
"el_observador","02-2018","1635",264,36,40,12,8,8,16,1,5,3,3,10,26,8
"el_observador","03-2018","1637",246,35,47,9,4,6,9,3,12,3,6,4,23,7
"el_observador","04-2018","1531",233,31,35,7,3,6,6,0,9,0,4,7,21,7
