"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_seguridad_nacional_count","pol_regulacion_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count"
"la_diaria","04-2012","172",40,7,8,3,0,0,3,0,0,2,0,4,7,2
"la_diaria","05-2012","196",54,8,8,2,1,3,3,2,0,1,1,3,5,3
"la_diaria","06-2012","191",55,8,9,3,0,1,4,0,2,3,3,2,5,4
"la_diaria","07-2012","186",59,13,13,1,1,5,10,2,2,2,5,3,10,1
"la_diaria","08-2012","206",66,11,11,5,1,5,5,1,1,1,2,3,9,3
"la_diaria","09-2012","172",55,10,12,2,1,2,6,0,1,2,3,3,7,1
"la_diaria","10-2012","200",64,4,6,0,0,1,2,0,2,1,0,0,2,0
"la_diaria","11-2012","197",70,11,13,2,0,2,5,0,1,2,2,1,8,2
"la_diaria","12-2012","174",47,10,10,2,3,1,6,1,2,1,1,1,7,0
"la_diaria","01-2013","187",53,10,10,1,0,1,2,0,0,0,3,4,8,4
"la_diaria","02-2013","179",48,5,5,2,0,1,1,0,0,0,0,2,3,0
"la_diaria","03-2013","174",48,8,9,1,1,2,4,0,0,0,4,0,6,0
"la_diaria","04-2013","190",49,8,10,2,3,3,6,1,1,1,2,4,7,1
"la_diaria","05-2013","193",61,7,8,2,1,3,5,0,1,1,1,2,7,0
"la_diaria","06-2013","174",61,6,7,1,2,1,2,0,1,1,0,1,5,0
"la_diaria","07-2013","202",61,4,6,1,0,1,1,0,3,0,1,1,4,1
"la_diaria","08-2013","201",65,4,5,1,0,0,3,0,0,1,2,1,2,1
"la_diaria","09-2013","204",59,3,3,0,0,1,1,0,0,1,0,1,2,0
"la_diaria","10-2013","220",72,11,12,0,0,1,3,2,1,0,1,1,9,0
"la_diaria","11-2013","202",45,6,7,2,0,0,2,1,0,1,1,1,6,1
"la_diaria","12-2013","194",63,6,7,0,0,0,1,2,2,0,1,0,5,1
"la_diaria","01-2014","187",57,8,8,2,1,1,3,1,2,3,1,0,7,1
"la_diaria","02-2014","179",39,1,1,0,0,0,0,0,0,0,0,0,1,1
"la_diaria","03-2014","208",50,7,7,0,0,1,4,0,3,1,2,1,5,1
"la_diaria","04-2014","183",49,4,5,0,0,0,3,0,1,0,0,1,2,0
"la_diaria","05-2014","187",45,3,3,1,0,1,0,0,0,0,2,0,1,1
"la_diaria","06-2014","197",39,2,2,0,0,0,1,0,0,0,0,1,2,0
"la_diaria","07-2014","214",56,11,12,2,0,2,4,0,2,2,1,2,9,1
"la_diaria","08-2014","187",46,5,5,2,2,1,2,0,2,1,0,1,2,1
"la_diaria","09-2014","183",52,6,7,0,1,1,1,1,0,1,1,0,6,0
"la_diaria","10-2014","209",48,5,7,1,0,0,0,2,0,0,1,0,5,0
"la_diaria","11-2014","178",40,2,3,0,0,1,0,1,0,0,0,0,1,0
"la_diaria","12-2014","298",61,8,9,2,0,1,4,0,1,2,1,2,6,0
"la_diaria","01-2015","584",82,8,9,2,1,1,2,0,2,0,0,1,5,1
"la_diaria","02-2015","553",90,7,9,3,1,1,3,1,2,1,1,2,6,0
"la_diaria","03-2015","629",129,11,11,3,1,4,5,1,0,1,3,4,10,0
"la_diaria","04-2015","568",127,14,15,0,1,2,3,0,4,2,3,2,10,2
"la_diaria","05-2015","538",102,8,11,0,1,0,1,1,1,1,2,0,5,2
"la_diaria","06-2015","601",127,11,14,2,1,1,4,0,0,3,3,0,10,1
"la_diaria","07-2015","563",146,20,21,3,5,8,8,1,3,4,3,5,18,0
"la_diaria","08-2015","539",126,14,18,1,1,5,5,1,1,1,2,5,13,2
"la_diaria","09-2015","610",132,21,23,6,1,6,11,4,4,6,4,4,16,1
"la_diaria","10-2015","601",138,17,17,2,0,4,7,0,3,4,3,3,12,3
"la_diaria","11-2015","577",128,12,16,0,0,1,3,1,4,1,6,0,8,1
"la_diaria","12-2015","609",138,20,23,5,3,7,10,1,1,3,5,4,18,3
"la_diaria","01-2016","527",109,9,10,2,0,0,2,0,0,2,3,0,8,0
"la_diaria","02-2016","592",124,15,15,1,1,1,6,1,2,2,3,1,11,1
"la_diaria","03-2016","632",138,23,27,3,2,5,7,1,3,0,5,3,17,2
"la_diaria","04-2016","590",134,15,17,1,4,3,6,4,5,0,2,3,13,3
"la_diaria","05-2016","586",153,18,18,4,2,5,7,1,5,3,6,1,10,1
"la_diaria","06-2016","638",150,19,22,4,3,7,10,5,3,6,4,0,16,4
"la_diaria","07-2016","590",139,22,26,2,3,4,10,3,4,4,1,5,15,6
"la_diaria","08-2016","743",148,8,10,1,2,4,0,2,0,0,1,1,5,0
"la_diaria","09-2016","748",157,21,26,4,3,6,7,3,1,4,5,2,15,5
"la_diaria","10-2016","711",136,5,10,0,0,0,0,0,2,0,1,0,3,2
"la_diaria","11-2016","708",151,21,21,4,1,1,4,1,5,1,6,1,17,6
"la_diaria","12-2016","687",146,18,25,3,3,5,7,1,4,1,2,4,16,3
"la_diaria","01-2017","692",157,24,27,4,1,2,6,2,6,1,2,2,21,6
"la_diaria","02-2017","636",131,17,21,5,0,3,7,1,4,3,5,1,16,3
"la_diaria","03-2017","694",129,21,24,7,6,6,5,3,4,2,4,4,17,4
"la_diaria","04-2017","641",117,13,13,2,2,0,3,0,4,1,6,0,12,1
"la_diaria","05-2017","1037",166,24,28,4,3,8,8,4,4,4,5,1,20,2
"la_diaria","06-2017","1006",182,19,21,4,3,7,7,2,4,4,2,2,17,2
"la_diaria","07-2017","1024",193,27,30,2,2,8,8,4,6,4,6,4,18,2
"la_diaria","08-2017","1062",183,25,27,5,5,5,9,4,4,2,6,4,21,2
"la_diaria","09-2017","986",176,24,29,5,3,2,6,0,8,0,8,2,18,6
"la_diaria","10-2017","965",167,21,28,6,1,1,7,2,3,2,2,2,16,4
"la_diaria","11-2017","1020",197,22,25,4,1,1,13,2,5,7,7,4,16,2
"la_diaria","12-2017","943",212,28,32,3,3,2,7,4,3,5,6,3,20,4
"la_diaria","01-2018","853",161,23,26,3,1,2,2,2,9,0,5,2,17,4
"la_diaria","02-2018","891",150,19,20,6,7,5,9,0,3,0,4,6,17,5
"la_diaria","03-2018","1031",173,22,26,3,2,2,3,2,6,0,2,5,21,4
"la_diaria","04-2018","994",169,10,11,1,0,2,3,4,4,3,0,1,6,0
