"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news"
"busqueda","04-2012",99,27,25,2,7,15,1,3,2,27,21,7,25,9
"busqueda","05-2012",194,50,48,3,9,23,8,4,5,50,39,21,42,13
"busqueda","06-2012",152,47,45,7,14,30,4,11,2,47,33,17,39,10
"busqueda","07-2012",150,36,33,4,14,19,1,5,5,36,29,13,30,7
"busqueda","08-2012",185,50,44,7,12,23,7,8,5,50,37,17,44,5
"busqueda","09-2012",158,31,27,4,9,10,3,4,3,31,20,11,27,4
"busqueda","10-2012",199,55,53,7,11,24,10,9,7,55,44,20,51,6
"busqueda","11-2012",167,44,42,5,11,22,4,6,5,44,38,15,41,8
"busqueda","12-2012",156,34,29,2,5,19,2,5,3,34,25,10,34,5
"busqueda","01-2013",177,35,33,10,12,24,3,8,5,35,28,15,33,6
"busqueda","02-2013",144,29,26,7,6,14,3,3,2,29,27,13,29,5
"busqueda","03-2013",104,23,22,5,5,12,2,4,5,23,21,9,23,6
"busqueda","04-2013",136,28,28,2,6,18,2,7,5,28,19,12,22,4
"busqueda","05-2013",188,39,37,7,15,20,3,2,5,39,28,14,33,5
"busqueda","06-2013",95,20,20,3,3,10,3,2,2,20,13,8,17,4
"busqueda","07-2013",174,40,39,2,8,23,4,4,3,40,31,17,35,11
"busqueda","08-2013",136,28,28,2,5,14,2,3,7,28,21,10,24,3
"busqueda","09-2013",144,33,31,4,4,14,4,1,3,33,29,11,31,11
"busqueda","10-2013",137,39,36,8,7,18,6,3,4,39,30,14,38,10
"busqueda","11-2013",164,31,30,3,5,16,1,6,2,31,21,14,29,5
"busqueda","12-2013",221,46,45,1,6,27,2,4,6,46,31,18,40,7
"busqueda","01-2014",169,34,34,0,1,14,4,6,5,34,27,14,32,9
"busqueda","02-2014",184,32,30,3,6,24,0,3,1,32,25,9,30,9
"busqueda","03-2014",159,27,26,4,7,13,1,1,5,27,18,9,24,1
"busqueda","04-2014",220,45,42,1,5,22,0,5,6,45,29,13,38,8
"busqueda","05-2014",136,34,31,2,2,16,1,5,3,34,20,15,30,4
"busqueda","06-2014",162,38,38,7,7,19,1,4,6,38,19,10,31,4
"busqueda","07-2014",187,40,38,6,11,25,3,7,6,40,29,12,33,7
"busqueda","08-2014",187,44,39,4,11,20,9,4,6,44,31,16,38,7
"busqueda","09-2014",161,35,29,4,5,20,2,7,4,35,18,11,31,6
"busqueda","10-2014",186,37,35,3,7,18,6,2,3,37,25,14,33,6
"busqueda","11-2014",147,31,31,5,7,13,2,2,4,31,18,12,26,4
"busqueda","12-2014",213,46,45,6,9,28,2,4,5,46,32,18,41,7
"busqueda","01-2015",158,31,31,3,6,13,2,3,5,31,21,15,26,5
"busqueda","02-2015",102,22,19,4,5,8,1,2,5,22,17,8,17,1
"busqueda","03-2015",168,34,31,5,8,20,4,3,7,34,21,10,26,2
"busqueda","04-2015",223,54,52,8,9,27,0,6,7,54,40,26,49,4
