"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","01-2000",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2000",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2000",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2000",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2000",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2000",7,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"el_pais","07-2000",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","08-2000",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","09-2000",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2000",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","11-2000",52,3,0,0,0,2,0,0,0,1,3,3,0,3,0
"el_pais","12-2000",89,3,0,0,0,3,0,0,0,0,3,3,0,3,0
"el_pais","01-2001",13,2,0,0,0,0,0,2,0,0,2,2,2,2,0
"el_pais","02-2001",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2001",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2001",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2001",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2001",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2001",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","08-2001",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","09-2001",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2001",26,4,0,0,0,0,0,4,4,0,4,4,0,4,4
"el_pais","11-2001",57,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"el_pais","12-2001",79,4,4,0,0,4,4,0,0,0,4,4,4,4,4
"el_pais","01-2002",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2002",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2002",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2002",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2002",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2002",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2002",9,2,2,0,0,2,0,0,0,0,2,0,2,2,0
"el_pais","08-2002",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","09-2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2002",65,3,0,2,0,1,0,1,0,0,3,3,3,3,1
"el_pais","11-2002",172,9,6,0,2,2,0,6,2,0,9,8,4,9,1
"el_pais","12-2002",274,2,1,0,0,0,1,1,0,0,2,1,0,2,0
"el_pais","01-2003",311,7,4,0,3,2,0,2,0,1,7,6,6,6,4
"el_pais","02-2003",304,4,1,0,0,0,0,2,1,0,4,3,2,4,2
"el_pais","03-2003",309,1,0,0,0,1,0,1,0,0,1,1,1,1,0
"el_pais","04-2003",286,3,0,0,0,1,0,1,0,0,3,1,1,3,0
"el_pais","05-2003",331,3,1,0,0,1,1,1,0,1,3,1,2,3,1
"el_pais","06-2003",278,1,0,0,0,1,0,1,0,1,1,1,1,1,0
"el_pais","07-2003",354,1,1,0,0,0,1,1,0,1,1,0,1,1,1
"el_pais","08-2003",310,2,0,1,0,1,0,0,0,0,2,1,2,1,0
"el_pais","09-2003",292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2003",342,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"el_pais","11-2003",314,2,0,0,0,0,0,0,0,0,2,2,1,2,0
"el_pais","12-2003",256,2,1,0,0,1,0,0,0,0,2,2,2,2,1
"el_pais","01-2004",180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2004",161,1,1,0,0,0,0,0,0,0,1,1,0,1,1
