"newspaper","date","total_news","economy_news_count","epu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_reg_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"la_diaria","08-2009","86",17,1,0,1,0,1,1,0,0,1,0,0,1,0
"la_diaria","09-2009","74",21,4,1,0,1,2,0,1,1,1,3,0,3,0
"la_diaria","10-2009","114",34,2,0,2,2,1,0,0,0,2,1,0,2,0
"la_diaria","11-2009","118",24,6,0,0,0,2,0,2,1,1,4,0,6,1
"la_diaria","12-2009","211",56,6,0,0,2,3,1,2,0,2,2,0,4,0
"la_diaria","01-2010","173",41,7,2,0,1,6,1,2,0,4,5,0,5,1
"la_diaria","02-2010","163",50,5,1,2,2,2,0,1,0,2,4,0,4,1
"la_diaria","03-2010","197",43,6,1,0,1,3,1,0,0,4,5,1,5,1
"la_diaria","04-2010","176",41,5,2,3,3,4,1,2,1,4,3,1,4,1
"la_diaria","05-2010","170",40,12,2,3,5,6,0,2,0,5,8,4,11,3
"la_diaria","06-2010","182",42,7,2,2,4,5,0,1,0,6,6,3,7,3
"la_diaria","07-2010","181",52,8,1,1,2,2,0,2,0,7,7,4,6,2
"la_diaria","08-2010","184",52,4,0,0,0,1,0,0,0,1,4,1,4,0
"la_diaria","09-2010","187",45,4,0,2,3,1,2,0,0,3,3,1,4,0
"la_diaria","10-2010","179",42,6,2,0,0,2,0,0,2,3,3,0,5,2
"la_diaria","11-2010","187",47,12,2,2,3,5,0,5,1,6,3,3,10,2
"la_diaria","12-2010","197",52,8,3,2,3,2,0,0,1,4,7,1,8,2
"la_diaria","01-2011","174",54,8,1,1,0,3,0,2,0,3,4,0,6,0
"la_diaria","02-2011","185",57,10,2,1,3,3,0,0,0,5,5,3,6,2
"la_diaria","03-2011","193",59,10,2,1,2,4,0,1,1,3,5,0,7,0
"la_diaria","04-2011","177",49,9,1,0,2,3,0,0,2,2,5,0,9,1
"la_diaria","05-2011","192",48,6,2,0,1,3,1,0,2,2,3,1,6,1
"la_diaria","06-2011","191",69,11,4,1,5,3,1,0,0,3,5,2,10,2
"la_diaria","07-2011","190",60,12,3,2,6,8,1,5,2,6,10,0,11,1
"la_diaria","08-2011","200",54,15,3,1,4,9,0,3,0,13,8,6,14,5
"la_diaria","09-2011","202",59,13,4,3,6,9,1,3,0,10,12,5,12,2
"la_diaria","10-2011","190",39,8,5,0,3,3,1,1,0,5,6,4,8,2
"la_diaria","11-2011","198",63,10,5,2,3,5,0,4,1,5,6,4,6,4
"la_diaria","12-2011","195",64,10,5,4,4,6,1,2,0,8,9,4,9,2
"la_diaria","01-2012","182",49,11,1,0,2,5,0,2,0,7,8,2,9,2
"la_diaria","02-2012","179",41,7,2,1,4,3,0,3,2,4,6,4,7,1
"la_diaria","03-2012","191",47,8,2,1,3,4,0,2,2,4,5,1,7,1
"la_diaria","04-2012","172",39,8,3,0,0,3,0,3,0,4,7,2,8,5
"la_diaria","05-2012","196",47,7,2,1,3,3,1,2,1,3,5,2,7,2
"la_diaria","06-2012","191",50,8,3,0,1,5,0,3,2,6,5,4,6,2
"la_diaria","07-2012","186",51,13,1,1,5,10,2,2,1,6,10,1,11,1
"la_diaria","08-2012","206",53,9,4,1,5,4,0,1,2,4,7,3,7,4
"la_diaria","09-2012","172",50,10,3,1,2,6,1,2,2,3,7,1,9,2
"la_diaria","10-2012","200",60,5,0,0,1,2,0,1,0,0,2,0,5,1
"la_diaria","11-2012","197",65,11,3,0,2,5,0,3,2,2,8,2,9,2
"la_diaria","12-2012","174",43,10,2,3,1,6,1,2,1,2,7,0,7,0
"la_diaria","01-2013","187",50,10,1,0,1,2,0,0,2,5,8,4,8,1
"la_diaria","02-2013","179",42,4,2,0,1,1,0,0,0,1,3,0,4,1
"la_diaria","03-2013","174",42,8,2,1,2,4,0,1,4,2,5,0,7,0
"la_diaria","04-2013","190",46,8,4,3,3,6,1,2,0,4,7,2,8,0
"la_diaria","05-2013","193",55,7,2,2,3,5,0,1,1,3,7,0,7,2
"la_diaria","06-2013","174",50,5,1,2,2,2,0,2,0,1,4,0,4,0
"la_diaria","07-2013","202",51,5,1,0,1,1,0,1,1,1,4,2,4,3
"la_diaria","08-2013","201",56,5,1,0,0,3,0,1,2,2,2,1,5,0
"la_diaria","09-2013","204",51,3,0,1,1,2,0,1,0,1,2,0,2,0
"la_diaria","10-2013","220",61,11,0,0,1,3,1,1,0,1,9,0,10,2
"la_diaria","11-2013","202",36,5,2,0,0,2,1,1,2,2,4,0,4,1
"la_diaria","12-2013","194",52,7,0,0,0,1,1,0,2,0,5,1,5,0
"la_diaria","01-2014","187",52,7,2,1,2,3,0,3,1,1,6,1,7,2
"la_diaria","02-2014","179",34,1,0,0,0,0,0,0,0,0,1,1,1,0
"la_diaria","03-2014","208",44,6,0,0,1,4,0,1,1,1,4,1,4,0
"la_diaria","04-2014","183",46,5,0,0,0,3,0,0,0,1,2,0,5,0
"la_diaria","05-2014","187",39,3,1,1,1,0,0,0,0,0,1,1,3,0
"la_diaria","06-2014","197",31,2,0,0,0,1,0,0,0,1,2,0,2,2
"la_diaria","07-2014","214",50,10,2,0,2,3,0,3,1,2,8,0,10,1
"la_diaria","08-2014","187",43,4,2,2,2,2,0,1,0,1,1,1,3,0
"la_diaria","09-2014","183",48,6,0,1,1,1,1,1,0,0,5,0,6,0
"la_diaria","10-2014","209",45,6,1,0,0,0,2,1,1,0,4,0,5,0
"la_diaria","11-2014","178",33,2,0,0,1,0,1,0,0,0,1,0,2,0
"la_diaria","12-2014","298",51,8,2,1,1,5,0,4,1,3,6,0,7,0
"la_diaria","01-2015","584",76,7,2,1,1,2,0,0,0,2,4,1,6,3
"la_diaria","02-2015","553",77,7,3,1,1,3,1,1,1,3,6,0,7,2
