"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news"
"la_republica","10-2011",1519,32,27,0,3,11,0,3,0,32,17,9,20,0
"la_republica","11-2011",3033,60,45,6,9,27,0,12,0,60,33,24,45,15
"la_republica","12-2011",5578,126,114,12,24,47,3,15,6,126,88,45,111,23
"la_republica","01-2012",5436,95,80,9,15,33,9,12,3,95,69,42,75,21
"la_republica","02-2012",5653,75,66,9,9,21,9,0,9,75,45,21,60,18
"la_republica","03-2012",5814,97,77,6,18,31,11,8,9,97,50,25,76,4
"la_republica","04-2012",5794,81,74,6,12,27,6,3,10,81,34,34,55,8
"la_republica","05-2012",5810,61,55,6,8,21,12,3,6,61,38,16,41,12
"la_republica","06-2012",6427,133,116,6,27,46,12,15,22,133,84,43,114,13
"la_republica","07-2012",7549,161,132,20,28,46,9,11,15,161,99,43,115,6
"la_republica","08-2012",7006,116,104,3,19,46,8,9,0,116,77,28,104,19
"la_republica","09-2012",6940,99,86,9,12,18,17,5,6,99,62,19,85,21
"la_republica","10-2012",6662,126,105,0,8,47,6,24,12,126,105,44,117,18
"la_republica","11-2012",6008,109,81,0,15,36,9,9,6,109,74,24,91,8
"la_republica","12-2012",5403,92,78,12,15,44,3,14,9,92,63,18,89,6
"la_republica","01-2013",5171,110,99,3,5,45,0,3,14,110,72,42,83,17
"la_republica","02-2013",2907,39,36,3,6,12,3,0,3,39,28,12,31,11
"la_republica","03-2013",5538,94,80,3,3,27,27,21,27,94,57,24,71,3
"la_republica","04-2013",4447,59,55,3,3,15,0,5,6,59,29,22,41,5
"la_republica","05-2013",6198,118,106,3,12,34,3,11,24,118,61,50,80,9
"la_republica","06-2013",6168,115,106,9,24,24,6,3,8,115,83,33,94,15
"la_republica","07-2013",6576,67,54,0,9,13,7,0,13,67,40,12,49,6
"la_republica","08-2013",7693,84,78,0,9,24,3,0,12,84,64,27,78,11
"la_republica","09-2013",7605,98,80,0,6,27,6,0,9,98,63,27,81,15
"la_republica","10-2013",7311,125,113,12,15,62,6,18,18,125,81,55,107,30
"la_republica","11-2013",6789,121,94,3,3,36,6,9,9,121,80,33,95,12
"la_republica","12-2013",6396,107,87,0,0,35,6,7,9,107,74,14,87,3
"la_republica","01-2014",6520,80,74,6,14,40,5,20,9,80,45,28,63,6
"la_republica","02-2014",5616,67,51,2,2,26,0,2,5,67,43,16,50,2
"la_republica","03-2014",5998,113,110,3,14,34,6,6,9,113,74,46,100,15
"la_republica","04-2014",6019,120,104,6,14,53,6,12,3,120,65,44,91,13
"la_republica","05-2014",6199,82,71,9,9,30,7,16,15,82,71,31,75,17
"la_republica","06-2014",8252,74,62,0,3,19,3,3,2,74,52,24,71,17
"la_republica","07-2014",10881,60,53,9,18,17,9,8,7,60,42,28,55,2
"la_republica","08-2014",13482,388,363,3,11,357,338,328,299,388,372,17,378,10
"la_republica","09-2014",1963,28,26,2,4,8,4,4,6,28,24,16,26,8
"la_republica","10-2014",1633,43,36,1,3,14,2,2,4,43,31,15,36,6
