"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"la_republica_fake","10-2011",794,4,0,0,0,0,0,0,0,0,4,0,0,2,0
"la_republica_fake","11-2011",1844,11,2,0,1,4,0,3,2,0,11,9,3,10,3
"la_republica_fake","12-2011",3150,38,1,0,1,8,0,1,1,7,38,15,7,31,3
"la_republica_fake","01-2012",3693,27,3,0,0,11,0,4,0,2,27,21,6,27,4
"la_republica_fake","02-2012",2949,9,0,0,0,0,0,3,0,2,9,7,1,5,1
"la_republica_fake","03-2012",3879,22,3,0,2,7,2,2,1,0,22,13,6,19,3
"la_republica_fake","04-2012",2826,12,1,0,0,0,0,1,0,2,12,5,5,9,1
"la_republica_fake","05-2012",3969,9,2,0,0,5,0,1,0,3,9,8,2,9,1
"la_republica_fake","06-2012",3377,20,2,0,0,10,0,2,0,2,20,10,4,20,6
"la_republica_fake","07-2012",4784,18,2,0,0,5,0,0,0,0,18,11,5,16,3
"la_republica_fake","08-2012",4522,20,3,0,0,4,3,3,0,0,20,14,10,17,0
"la_republica_fake","09-2012",3223,9,4,2,0,2,2,0,2,1,9,9,0,9,0
"la_republica_fake","10-2012",3420,13,3,0,0,2,0,2,2,0,13,7,5,7,2
"la_republica_fake","11-2012",3843,12,0,0,0,2,0,2,0,0,12,10,1,10,6
"la_republica_fake","12-2012",2706,11,0,2,0,2,0,2,0,2,11,11,4,11,3
"la_republica_fake","01-2013",2000,7,3,0,1,4,0,0,0,1,7,5,5,6,0
"la_republica_fake","02-2013",1922,5,1,0,0,2,0,0,0,0,5,5,0,5,0
"la_republica_fake","03-2013",3100,17,0,0,0,3,3,4,1,8,17,14,8,14,0
"la_republica_fake","04-2013",2347,3,0,0,0,0,0,1,0,1,3,3,2,3,1
"la_republica_fake","05-2013",3747,18,6,0,2,7,0,6,1,0,18,10,10,14,1
"la_republica_fake","06-2013",3518,14,4,2,2,2,0,1,0,0,14,9,4,14,2
"la_republica_fake","07-2013",4191,18,6,0,0,2,4,4,0,0,18,14,4,16,4
"la_republica_fake","08-2013",4315,19,2,0,0,4,0,4,0,0,19,11,4,19,3
"la_republica_fake","09-2013",4158,12,0,0,0,4,0,0,0,0,12,8,0,8,2
"la_republica_fake","10-2013",3980,9,2,0,0,2,0,2,1,0,9,3,8,7,3
"la_republica_fake","11-2013",3832,19,2,0,0,4,0,3,2,0,19,9,9,16,1
"la_republica_fake","12-2013",4528,17,4,0,0,4,0,1,0,0,17,7,1,16,0
"la_republica_fake","01-2014",3734,5,1,0,0,3,0,0,0,0,5,3,1,5,2
"la_republica_fake","02-2014",3455,9,2,0,0,2,0,3,0,0,9,6,2,7,1
"la_republica_fake","03-2014",3513,26,0,2,1,4,0,9,0,2,26,16,14,22,2
"la_republica_fake","04-2014",3454,12,2,0,2,2,0,2,0,1,12,11,3,12,2
"la_republica_fake","05-2014",3703,12,1,2,2,7,0,2,0,4,12,11,7,12,6
"la_republica_fake","06-2014",4745,13,3,0,0,3,0,2,0,0,13,8,7,10,1
"la_republica_fake","07-2014",5372,6,2,2,0,2,2,0,0,0,6,2,2,4,0
"la_republica_fake","08-2014",7878,9,0,1,1,3,2,1,0,3,9,7,4,7,3
"la_republica_fake","09-2014",1065,5,3,1,1,3,1,1,0,1,5,3,2,3,1
"la_republica_fake","10-2014",942,1,0,0,0,1,0,0,0,0,1,1,0,1,0
