Newspaper,Date,EPU Uruguay,Política impositiva,Política de gasto gubernamental,Política fiscal,Política monetaria,Política de salud,Política de seguridad nacional,Política de regulación financiera,Política de regulación,Política de deuda soberana y crisis monetaria,Política de programas de derechos,Política comercial,Otras políticas,Autoridades
el_pais,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Apr-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Jun-00,784.0654625,0,0,0,0,0,0,0,0,784.0654625,0,1744.786477,916.0645859,2946.959906
el_pais,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Sep-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Oct-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Nov-00,316.6418214,0,0,0,509.7161723,0,0,0,1669.314972,316.6418214,474.0675114,0,369.9491597,0
el_pais,Dec-00,185.0042103,0,0,0,446.7175442,0,0,0,0,185.0042103,276.9832651,0,216.1500708,0
el_pais,Jan-01,844.3781904,0,0,0,0,0,3312.980193,0,0,844.3781904,1264.18003,1879.000822,986.5310925,0
el_pais,Feb-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Mar-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Apr-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,May-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Jun-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Jul-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Aug-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Sep-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Oct-01,844.3781904,0,0,0,0,0,3312.980193,13109.54202,0,844.3781904,1264.18003,0,986.5310925,3173.649129
el_pais,Nov-01,96.28874101,0,0,0,232.5021137,0,0,0,0,96.28874101,0,0,112.4991597,0
el_pais,Dec-01,277.8966196,1159.857584,0,0,671.0187584,5180.613954,0,0,0,277.8966196,416.0592505,618.4053338,324.681119,1044.492119
el_pais,Jan-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Feb-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Mar-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Apr-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,May-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Jun-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Jul-02,1219.657386,5090.486063,0,0,2945.026773,0,0,0,0,1219.657386,0,2714.112298,1424.989356,0
el_pais,Aug-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el_pais,Sep-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
