"date","epu_uruguay","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",129.98891352549887,159.2079207920792,150.0,63.1083202511774,139.3897364771151,136.73469387755102,315.4708520179372,36.77950594693504,117.5438596491228,223.33333333333337
"2-2002",74.27937915742794,0.0,50.0,94.66248037676611,55.75589459084604,164.08163265306123,45.06726457399103,55.16925892040256,78.36257309941521,111.66666666666669
"3-2002",77.99334811529933,79.6039603960396,50.0,0.0,55.75589459084604,164.08163265306123,135.2017937219731,91.9487648673376,39.18128654970761,55.83333333333334
"4-2002",103.9911308203991,199.009900990099,0.0,126.2166405023548,139.3897364771151,191.42857142857142,0.0,73.55901189387008,78.36257309941521,55.83333333333334
"5-2002",122.5609756097561,0.0,50.0,63.1083202511774,111.51178918169208,328.16326530612247,45.06726457399103,165.50777676120768,78.36257309941521,111.66666666666669
"6-2002",204.2682926829268,119.40594059405942,50.0,126.2166405023548,362.41331484049925,328.16326530612247,360.53811659192826,239.06678865507777,39.18128654970761,0.0
"7-2002",204.2682926829268,159.2079207920792,0.0,94.66248037676611,278.7794729542302,382.85714285714283,360.53811659192826,239.06678865507777,39.18128654970761,111.66666666666669
"8-2002",152.27272727272725,0.0,50.0,31.5541601255887,223.02357836338416,410.20408163265313,270.4035874439462,91.9487648673376,156.72514619883043,55.83333333333334
"9-2002",122.5609756097561,39.8019801980198,150.0,63.1083202511774,167.26768377253813,246.12244897959184,90.13452914798206,110.33851784080512,117.5438596491228,55.83333333333334
"10-2002",96.56319290465632,79.6039603960396,0.0,63.1083202511774,111.51178918169208,136.73469387755102,45.06726457399103,147.11802378774016,156.72514619883043,0.0
"11-2002",81.70731707317073,0.0,50.0,31.5541601255887,111.51178918169208,27.346938775510203,135.2017937219731,147.11802378774016,117.5438596491228,55.83333333333334
"12-2002",81.70731707317073,119.40594059405942,0.0,126.2166405023548,27.87794729542302,136.73469387755102,90.13452914798206,73.55901189387008,78.36257309941521,55.83333333333334
"1-2003",85.42128603104213,0.0,50.0,0.0,111.51178918169208,218.77551020408163,45.06726457399103,55.16925892040256,195.906432748538,55.83333333333334
"2-2003",74.27937915742794,79.6039603960396,50.0,31.5541601255887,0.0,109.38775510204081,0.0,147.11802378774016,78.36257309941521,111.66666666666669
"3-2003",141.13082039911308,39.8019801980198,50.0,63.1083202511774,139.3897364771151,382.85714285714283,90.13452914798206,128.72827081427263,235.0877192982456,0.0
"4-2003",126.27494456762749,39.8019801980198,0.0,63.1083202511774,195.14563106796112,191.42857142857142,90.13452914798206,147.11802378774016,39.18128654970761,335.00000000000006
"5-2003",100.27716186252772,39.8019801980198,100.0,0.0,111.51178918169208,218.77551020408163,45.06726457399103,128.72827081427263,117.5438596491228,55.83333333333334
"6-2003",51.99556541019955,119.40594059405942,100.0,0.0,111.51178918169208,82.04081632653062,0.0,18.38975297346752,39.18128654970761,0.0
"7-2003",44.56762749445676,119.40594059405942,0.0,0.0,27.87794729542302,82.04081632653062,0.0,36.77950594693504,39.18128654970761,111.66666666666669
"8-2003",85.42128603104213,0.0,50.0,126.2166405023548,55.75589459084604,136.73469387755102,90.13452914798206,91.9487648673376,78.36257309941521,111.66666666666669
"9-2003",55.709534368070955,39.8019801980198,50.0,63.1083202511774,55.75589459084604,54.69387755102041,0.0,110.33851784080512,0.0,55.83333333333334
"10-2003",51.99556541019955,0.0,100.0,31.5541601255887,55.75589459084604,136.73469387755102,0.0,18.38975297346752,78.36257309941521,55.83333333333334
"11-2003",48.28159645232816,39.8019801980198,100.0,0.0,0.0,27.346938775510203,45.06726457399103,55.16925892040256,0.0,279.16666666666674
"12-2003",63.13747228381374,119.40594059405942,200.0,31.5541601255887,139.3897364771151,27.346938775510203,45.06726457399103,36.77950594693504,0.0,0.0
"1-2004",44.56762749445676,0.0,0.0,94.66248037676611,83.63384188626907,82.04081632653062,90.13452914798206,18.38975297346752,0.0,0.0
"2-2004",85.42128603104213,79.6039603960396,150.0,63.1083202511774,27.87794729542302,164.08163265306123,45.06726457399103,91.9487648673376,117.5438596491228,0.0
"3-2004",70.56541019955654,79.6039603960396,50.0,126.2166405023548,139.3897364771151,54.69387755102041,0.0,73.55901189387008,39.18128654970761,0.0
"4-2004",63.13747228381374,79.6039603960396,100.0,94.66248037676611,27.87794729542302,82.04081632653062,45.06726457399103,55.16925892040256,78.36257309941521,0.0
"5-2004",70.56541019955654,39.8019801980198,100.0,63.1083202511774,139.3897364771151,54.69387755102041,90.13452914798206,73.55901189387008,39.18128654970761,0.0
"6-2004",66.85144124168515,0.0,100.0,63.1083202511774,195.14563106796112,54.69387755102041,0.0,55.16925892040256,39.18128654970761,55.83333333333334
"7-2004",89.13525498891352,0.0,150.0,94.66248037676611,195.14563106796112,82.04081632653062,90.13452914798206,55.16925892040256,78.36257309941521,55.83333333333334
"8-2004",77.99334811529933,119.40594059405942,50.0,31.5541601255887,167.26768377253813,54.69387755102041,135.2017937219731,18.38975297346752,78.36257309941521,111.66666666666669
"9-2004",59.42350332594235,79.6039603960396,100.0,94.66248037676611,55.75589459084604,27.346938775510203,45.06726457399103,73.55901189387008,39.18128654970761,0.0
"10-2004",100.27716186252772,159.2079207920792,100.0,126.2166405023548,223.02357836338416,0.0,135.2017937219731,55.16925892040256,39.18128654970761,111.66666666666669
"11-2004",96.56319290465632,79.6039603960396,50.0,94.66248037676611,139.3897364771151,82.04081632653062,0.0,110.33851784080512,117.5438596491228,167.50000000000003
"12-2004",55.709534368070955,79.6039603960396,100.0,63.1083202511774,27.87794729542302,0.0,90.13452914798206,55.16925892040256,78.36257309941521,55.83333333333334
"1-2005",59.42350332594235,79.6039603960396,50.0,31.5541601255887,27.87794729542302,109.38775510204081,45.06726457399103,73.55901189387008,78.36257309941521,0.0
"2-2005",51.99556541019955,39.8019801980198,50.0,31.5541601255887,55.75589459084604,82.04081632653062,45.06726457399103,73.55901189387008,0.0,55.83333333333334
"3-2005",66.85144124168515,79.6039603960396,50.0,31.5541601255887,111.51178918169208,109.38775510204081,45.06726457399103,55.16925892040256,78.36257309941521,0.0
"4-2005",51.99556541019955,39.8019801980198,0.0,31.5541601255887,55.75589459084604,54.69387755102041,0.0,73.55901189387008,78.36257309941521,111.66666666666669
"5-2005",77.99334811529933,119.40594059405942,0.0,63.1083202511774,27.87794729542302,27.346938775510203,0.0,239.06678865507777,0.0,55.83333333333334
"6-2005",63.13747228381374,0.0,150.0,157.77080062794352,27.87794729542302,27.346938775510203,0.0,110.33851784080512,0.0,55.83333333333334
"7-2005",37.13968957871397,79.6039603960396,50.0,0.0,0.0,0.0,45.06726457399103,55.16925892040256,78.36257309941521,55.83333333333334
"8-2005",70.56541019955654,119.40594059405942,0.0,189.32496075353222,55.75589459084604,0.0,45.06726457399103,91.9487648673376,39.18128654970761,55.83333333333334
"9-2005",96.56319290465632,119.40594059405942,100.0,63.1083202511774,167.26768377253813,109.38775510204081,0.0,73.55901189387008,156.72514619883043,55.83333333333334
"10-2005",66.85144124168515,119.40594059405942,50.0,0.0,111.51178918169208,109.38775510204081,90.13452914798206,36.77950594693504,78.36257309941521,0.0
"11-2005",92.84922394678493,199.009900990099,50.0,31.5541601255887,83.63384188626907,82.04081632653062,135.2017937219731,110.33851784080512,39.18128654970761,111.66666666666669
"12-2005",100.27716186252772,39.8019801980198,50.0,0.0,139.3897364771151,109.38775510204081,90.13452914798206,220.67703568161025,39.18128654970761,55.83333333333334
"1-2006",74.27937915742794,199.009900990099,50.0,31.5541601255887,83.63384188626907,136.73469387755102,0.0,36.77950594693504,78.36257309941521,55.83333333333334
"2-2006",33.425720620842576,39.8019801980198,50.0,0.0,27.87794729542302,136.73469387755102,0.0,18.38975297346752,0.0,0.0
"3-2006",63.13747228381374,39.8019801980198,0.0,31.5541601255887,139.3897364771151,136.73469387755102,0.0,73.55901189387008,39.18128654970761,0.0
"4-2006",70.56541019955654,39.8019801980198,100.0,31.5541601255887,167.26768377253813,27.346938775510203,90.13452914798206,110.33851784080512,0.0,0.0
"5-2006",77.99334811529933,39.8019801980198,0.0,0.0,195.14563106796112,136.73469387755102,90.13452914798206,55.16925892040256,39.18128654970761,111.66666666666669
"6-2006",89.13525498891352,119.40594059405942,50.0,126.2166405023548,139.3897364771151,164.08163265306123,0.0,73.55901189387008,0.0,55.83333333333334
"7-2006",70.56541019955654,39.8019801980198,50.0,0.0,111.51178918169208,191.42857142857142,0.0,36.77950594693504,78.36257309941521,111.66666666666669
"8-2006",55.709534368070955,0.0,0.0,126.2166405023548,83.63384188626907,0.0,45.06726457399103,18.38975297346752,156.72514619883043,111.66666666666669
"9-2006",51.99556541019955,119.40594059405942,0.0,63.1083202511774,55.75589459084604,27.346938775510203,45.06726457399103,73.55901189387008,39.18128654970761,0.0
"10-2006",63.13747228381374,39.8019801980198,50.0,63.1083202511774,0.0,109.38775510204081,45.06726457399103,55.16925892040256,78.36257309941521,167.50000000000003
"11-2006",66.85144124168515,79.6039603960396,50.0,31.5541601255887,0.0,54.69387755102041,0.0,110.33851784080512,78.36257309941521,223.33333333333337
"12-2006",37.13968957871397,159.2079207920792,100.0,0.0,0.0,0.0,0.0,18.38975297346752,0.0,167.50000000000003
"1-2007",40.853658536585364,0.0,50.0,31.5541601255887,0.0,82.04081632653062,45.06726457399103,36.77950594693504,117.5438596491228,0.0
"2-2007",33.425720620842576,119.40594059405942,50.0,0.0,0.0,27.346938775510203,0.0,73.55901189387008,0.0,0.0
