"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",26,1,1,7,0,0,5,6,2,4
"2-2002",15,1,1,1,0,2,0,6,1,3
"3-2002",15,1,3,4,1,0,1,3,0,2
"4-2002",21,3,2,1,0,3,0,7,0,5
"5-2002",25,0,1,1,0,5,1,11,1,5
"6-2002",40,1,1,4,1,7,2,17,1,6
"7-2002",39,1,1,7,4,6,1,12,1,6
"8-2002",30,5,0,3,2,2,3,12,1,2
"9-2002",26,2,1,2,3,4,1,11,0,2
"10-2002",24,4,3,0,4,2,1,6,1,3
"11-2002",16,2,1,1,1,5,1,4,0,1
"12-2002",17,3,1,2,3,2,1,2,0,3
"1-2003",20,0,1,1,6,2,0,9,1,0
"2-2003",14,0,0,2,7,2,0,1,1,1
"3-2003",28,5,1,1,4,4,0,10,1,2
"4-2003",25,2,2,2,4,1,0,12,1,1
"5-2003",19,2,0,1,2,1,1,10,1,1
"6-2003",12,2,0,0,0,2,0,7,1,0
"7-2003",7,1,1,1,0,1,0,3,0,0
"8-2003",17,3,1,1,1,2,0,5,0,4
"9-2003",11,0,1,0,1,3,0,3,1,2
"10-2003",10,0,0,0,1,1,0,7,0,1
"11-2003",9,0,4,1,1,1,1,1,0,0
"12-2003",12,0,2,1,0,1,1,5,0,2
"1-2004",12,0,2,0,1,0,1,4,0,4
"2-2004",18,1,0,3,1,3,0,6,2,2
"3-2004",15,1,0,0,2,1,0,7,1,3
"4-2004",15,3,1,2,2,1,1,2,0,3
"5-2004",13,0,0,2,2,1,0,6,1,1
"6-2004",13,1,1,0,1,2,0,5,2,1
"7-2004",23,0,0,1,3,3,2,8,2,4
"8-2004",17,1,3,2,1,2,0,4,1,3
"9-2004",10,0,1,0,1,4,0,3,0,1
"10-2004",19,0,2,2,0,3,0,5,2,5
"11-2004",19,1,2,1,3,4,0,6,0,2
"12-2004",10,1,1,1,2,2,1,1,1,0
"1-2005",7,0,0,0,1,2,1,1,0,2
"2-2005",10,1,1,1,1,2,0,3,0,1
"3-2005",14,4,1,0,0,2,0,5,2,0
"4-2005",10,1,1,1,1,3,0,3,0,0
"5-2005",17,1,0,2,3,8,0,1,0,2
"6-2005",12,1,0,0,1,4,0,1,2,3
"7-2005",8,1,1,1,0,4,0,0,1,0
"8-2005",14,0,2,1,1,2,0,3,0,5
"9-2005",26,3,2,3,3,2,0,10,2,1
"10-2005",15,1,1,0,0,4,1,6,1,1
